,city,detailed_location,tipology,price,area,area_per_square_meter,bathrooms,apartament_state
7546,Lisboa,"Carcavelos e Parede, Cascais, Lisboa",T2,490 000 €,98 m²,5 000 €/m²,Casas de Banho: 2,Novo
7547,Lisboa,"Santo António, Lisboa",T1,546 000 €,100 m²,5 460 €/m²,Casas de Banho: 3,Em construção
7548,Lisboa,"Sacavém e Prior Velho, Loures, Lisboa",T1,247 000 €,"46,15 m²",5 352 €/m²,Casas de Banho: 1,Usado
7549,Porto,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",Vídeo,T3,545 000 €,131 m²,4 160 €/m²,Casas de Banho: 3
7550,Lisboa,"Santo António, Lisboa",T1,615 000 €,51 m²,12 059 €/m²,Casas de Banho: 1,Em construção
7551,Lisboa,"Santo António, Lisboa",T1,477 000 €,43 m²,11 093 €/m²,Casas de Banho: 1,Em construção
7552,Lisboa,"Santo António, Lisboa",T1,450 000 €,37 m²,12 162 €/m²,Casas de Banho: 1,Em construção
7553,Lisboa,"Santo António, Lisboa",T1,456 000 €,37 m²,12 324 €/m²,Casas de Banho: 1,Em construção
7554,Lisboa,"Olivais, Lisboa",T5,"877 942,80 €",282 m²,3 113 €/m²,Casas de Banho: 4 ou mais,Novo
7555,Lisboa,"Olivais, Lisboa",T4,"881 647,20 €",268 m²,3 290 €/m²,Casas de Banho: 3,Novo
7556,Lisboa,"Olivais, Lisboa",T4,"904 799,70 €",303 m²,2 986 €/m²,Casas de Banho: 3,Novo
7557,Lisboa,"Santa Maria Maior, Lisboa",T0,265 000 €,36 m²,7 361 €/m²,Casas de Banho: 1,Em construção
7558,Lisboa,"Olivais, Lisboa",T4,"819 598,50 €",269 m²,3 047 €/m²,Casas de Banho: 3,Novo
7559,Lisboa,"Olivais, Lisboa",T4,"816 820,20 €",266 m²,3 071 €/m²,Casas de Banho: 3,Novo
7560,Lisboa,"Olivais, Lisboa",T5,"868 681,80 €",282 m²,3 080 €/m²,Casas de Banho: 4 ou mais,Novo
7561,Lisboa,"Olivais, Lisboa",T5,907 578 €,282 m²,3 218 €/m²,Casas de Banho: 4 ou mais,Novo
7562,Lisboa,"Olivais, Lisboa",T5,"867 755,70 €",282 m²,3 077 €/m²,Casas de Banho: 4 ou mais,Novo
7563,Lisboa,"Olivais, Lisboa",T5,870 534 €,282 m²,3 087 €/m²,Casas de Banho: 4 ou mais,Novo
7564,Santarém,"Nossa Senhora da Piedade, Ourém, Santarém",T3,115 000 €,134 m²,858 €/m²,Casas de Banho: 2,Usado
7565,Porto,"Ramalde, Porto",T2,280 000 €,85 m²,3 294 €/m²,Casas de Banho: 1,Em construção
