,city,detailed_location,tipology,price,area,area_per_square_meter,bathrooms,apartament_state
0,Faro,"Faro (Sé e São Pedro), Faro",T3,329 000 €,"170,90 m²",1 925 €/m²,Casas de Banho: 3,Novo
1,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T3,638 000 €,"211,85 m²",3 012 €/m²,Novo,
2,Porto,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",T2,362 775 €,116 m²,3 127 €/m²,Casas de Banho: 3,Em construção
3,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T4,510 000 €,"204,25 m²",2 497 €/m²,Novo,
4,Porto,"Paranhos, Porto",Vídeo,T1,197 000 €,71 m²,2 775 €/m²,Casas de Banho: 1
5,Setúbal,"Alcochete, Setúbal",T2,500 000 €,"84,80 m²",5 896 €/m²,Casas de Banho: 2,Novo
6,Porto,"Paranhos, Porto",Vídeo,T2,284 000 €,105 m²,2 705 €/m²,Casas de Banho: 3
7,Porto,"Paranhos, Porto",Vídeo,T3,429 000 €,154 m²,2 786 €/m²,Casas de Banho: 4 ou mais
8,Faro,"Portimão, Faro",T5,2 860 000 €,500 m²,5 720 €/m²,Casas de Banho: 4 ou mais,Em construção
9,Lisboa,"Avenidas Novas, Lisboa",T2,450 000 €,102 m²,4 412 €/m²,Casas de Banho: 1,
10,Lisboa,"São Domingos de Rana, Cascais, Lisboa",T3,210 000 €,87 m²,2 414 €/m²,Casas de Banho: 2,
11,Lisboa,"Campo de Ourique, Lisboa",T3,268 000 €,61 m²,4 393 €/m²,Casas de Banho: 1,Renovado
12,Lisboa,"Ajuda, Lisboa",T1,275 000 €,90 m²,3 056 €/m²,Casas de Banho: 1,Renovado
13,Faro,"Portimão, Faro",T3,179 000 €,128 m²,1 398 €/m²,Casas de Banho: 2,Usado
14,Lisboa,"Campolide, Lisboa",T2,770 000 €,"97,93 m²",7 863 €/m²,Casas de Banho: 2,Em construção
15,Lisboa,"Campolide, Lisboa",T3,1 315 000 €,"132,37 m²",9 934 €/m²,Casas de Banho: 3,Em construção
16,Lisboa,"Campolide, Lisboa",T1,510 000 €,"67,10 m²",7 601 €/m²,Casas de Banho: 1,Em construção
17,Faro,"Albufeira e Olhos de Água, Albufeira, Faro",T3,440 000 €,"129,40 m²",3 400 €/m²,Casas de Banho: 3,Novo
18,Faro,"Albufeira e Olhos de Água, Albufeira, Faro",T2,335 000 €,"123,50 m²",2 713 €/m²,Casas de Banho: 2,Novo
19,Porto,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",T4,866 842 €,188 m²,4 611 €/m²,Casas de Banho: 4 ou mais,Em construção
20,Faro,"Faro (Sé e São Pedro), Faro",T2,304 000 €,"166,60 m²",1 825 €/m²,Casas de Banho: 2,Novo
21,Lisboa,"Ajuda, Lisboa",T3,1 160 000 €,"156,10 m²",7 431 €/m²,Novo,
22,Faro,"Albufeira e Olhos de Água, Albufeira, Faro",T3,450 000 €,"176,05 m²",2 556 €/m²,Casas de Banho: 3,Novo
23,Santarém,"Torres Novas (São Pedro), Lapas e Ribeira Branca, Torres Novas, Santarém",T2,117 500 €,"156,65 m²",750 €/m²,Usado,
24,Santarém,"Nossa Senhora de Fátima, Entroncamento, Santarém",T4,145 000 €,208 m²,697 €/m²,Usado,
25,Lisboa,"Parque das Nações, Lisboa",Vídeo,T2,430 000 €,80 m²,5 375 €/m²,Casas de Banho: 2
26,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T3,330 000 €,124 m²,2 661 €/m²,Casas de Banho: 2,Usado
27,Porto,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",T3,462 000 €,147 m²,3 143 €/m²,Casas de Banho: 4 ou mais,Em construção
28,Porto,"Bonfim, Porto",T4,1 370 589 €,"303,90 m²",4 510 €/m²,Casas de Banho: 4 ou mais,Novo
29,Lisboa,"Avenidas Novas, Lisboa",T1,450 000 €,60 m²,7 500 €/m²,Casas de Banho: 2,Em construção
30,Lisboa,"Avenidas Novas, Lisboa",T1,500 000 €,"53,80 m²",9 294 €/m²,Casas de Banho: 2,Em construção
31,Lisboa,"Avenidas Novas, Lisboa",T2,810 000 €,111 m²,7 297 €/m²,Casas de Banho: 2,Em construção
32,Setúbal,"Alcochete, Setúbal",T3,770 000 €,"201,10 m²",3 829 €/m²,Casas de Banho: 2,Novo
33,Lisboa,"Avenidas Novas, Lisboa",T2,625 000 €,"110,10 m²",5 677 €/m²,Casas de Banho: 2,Em construção
34,Lisboa,"Avenidas Novas, Lisboa",T1,440 000 €,70 m²,6 286 €/m²,Casas de Banho: 1,Em construção
35,Lisboa,"Avenidas Novas, Lisboa",T0,505 000 €,75 m²,6 733 €/m²,Casas de Banho: 1,Em construção
36,Setúbal,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T2,173 000 €,"104,35 m²",1 658 €/m²,Casas de Banho: 1,Novo
37,Porto,"Campanhã, Porto",T1,145 000 €,40 m²,3 625 €/m²,Casas de Banho: 1,Novo
38,Lisboa,"Avenidas Novas, Lisboa",T4,1 195 000 €,"146,60 m²",8 151 €/m²,Casas de Banho: 3,Em construção
39,Setúbal,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T3,196 000 €,"118,98 m²",1 647 €/m²,Casas de Banho: 2,Novo
40,Santarém,"Fátima, Ourém, Santarém",T2,186 160 €,"103,80 m²",1 793 €/m²,Em construção,
41,Santarém,"Fátima, Ourém, Santarém",T3,288 080 €,"153,90 m²",1 872 €/m²,Em construção,
42,Faro,"Portimão, Faro",Vídeo,T1,152 500 €,47 m²,3 245 €/m²,Casas de Banho: 1
43,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T1,335 000 €,98 m²,3 418 €/m²,Casas de Banho: 1,Renovado
44,Lisboa,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisboa",Vídeo,T2,410 000 €,121 m²,3 388 €/m²,Casas de Banho: 3
45,Lisboa,"Santa Maria Maior, Lisboa",Vídeo,T2,970 000 €,130 m²,7 462 €/m²,Casas de Banho: 2
46,Lisboa,"Avenidas Novas, Lisboa",T5,1 250 000 €,238 m²,5 252 €/m²,Casas de Banho: 4 ou mais,Em construção
47,Lisboa,"Lumiar, Lisboa",Vídeo,T2,420 000 €,102 m²,4 118 €/m²,Casas de Banho: 2
48,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",Vídeo,T2,295 000 €,85 m²,3 471 €/m²,Casas de Banho: 2
49,Lisboa,"Barcarena, Oeiras, Lisboa",Vídeo,T5,380 000 €,256 m²,1 484 €/m²,Casas de Banho: 4 ou mais
50,Lisboa,"Agualva e Mira-Sintra, Sintra, Lisboa",T3,150 000 €,105 m²,1 429 €/m²,Casas de Banho: 2,Usado
51,Lisboa,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa",Vídeo,T2,470 000 €,108 m²,4 352 €/m²,Casas de Banho: 2
52,Lisboa,"Carcavelos e Parede, Cascais, Lisboa",Vídeo,T4,850 000 €,184 m²,4 620 €/m²,Casas de Banho: 4 ou mais
53,Faro,"Portimão, Faro",808 000 €,374 m²,2 160 €/m²,Casas de Banho: 4 ou mais,Em construção,
54,Faro,"Portimão, Faro",260 000 €,"91,45 m²",2 843 €/m²,Casas de Banho: 2,Novo,
55,Faro,"Portimão, Faro",750 000 €,"171,45 m²",4 374 €/m²,Novo,,
56,Faro,"Portimão, Faro",260 000 €,"91,45 m²",2 843 €/m²,Casas de Banho: 2,Novo,
57,Lisboa,"Massamá e Monte Abraão, Sintra, Lisboa",T3,320 000 €,165 m²,1 939 €/m²,Casas de Banho: 2,
58,Lisboa,"Águas Livres, Amadora, Lisboa",T1,85 000 €,44 m²,1 932 €/m²,Casas de Banho: 1,
59,Setúbal,"Barreiro e Lavradio, Barreiro, Setúbal",T3,293 500 €,185 m²,1 586 €/m²,Casas de Banho: 2,Em construção
60,Setúbal,"Barreiro e Lavradio, Barreiro, Setúbal",T3,247 000 €,157 m²,1 573 €/m²,Casas de Banho: 2,Em construção
61,Ilha do Pico,"Madalena, Ilha do Pico",179 000 €,173 m²,1 035 €/m²,Casas de Banho: 2,,
62,Faro,"Portimão, Faro",133 000 €,"58,40 m²",2 277 €/m²,Casas de Banho: 1,Usado,
63,Porto,"Madalena, Vila Nova de Gaia, Porto",T3,310 000 €,145 m²,2 138 €/m²,Casas de Banho: 3,Usado
64,Santarém,"Torres Novas (Santa Maria, Salvador e Santiago), Torres Novas, Santarém",T3,80 000 €,"119,80 m²",668 €/m²,Usado,
65,Faro,"Portimão, Faro",T3,139 000 €,84 m²,1 655 €/m²,Casas de Banho: 2,Usado
66,Setúbal,"Almada, Cova da Piedade, Pragal e Cacilhas, Almada, Setúbal",Vídeo,T3,175 000 €,"84,80 m²",2 064 €/m²,Acompanhamento Virtual
67,Lisboa,"Águas Livres, Amadora, Lisboa",T2,260 000 €,"91,35 m²",2 846 €/m²,Casas de Banho: 2,Novo
68,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,335 000 €,111 m²,3 018 €/m²,Casas de Banho: 2,Em construção
69,Lisboa,"Águas Livres, Amadora, Lisboa",T3,350 000 €,"120,40 m²",2 907 €/m²,Casas de Banho: 2,Novo
70,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T3,495 000 €,130 m²,3 808 €/m²,Casas de Banho: 3,Novo
71,Setúbal,"Alcochete, Setúbal",T2,425 000 €,"109,70 m²",3 874 €/m²,Casas de Banho: 2,Novo
72,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T1,240 000 €,79 m²,3 038 €/m²,Em construção,
73,Lisboa,"Olivais, Lisboa",T1,244 000 €,"66,70 m²",3 658 €/m²,Casas de Banho: 1,Em construção
74,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T3,530 000 €,"150,32 m²",3 526 €/m²,Casas de Banho: 3,Em construção
75,Lisboa,"Campolide, Lisboa",T3,1 370 000 €,"160,06 m²",8 559 €/m²,Casas de Banho: 3,Em construção
76,Porto,"Gulpilhares e Valadares, Vila Nova de Gaia, Porto",T3,277 500 €,130 m²,2 135 €/m²,Casas de Banho: 3,Renovado
77,Santarém,"Nossa Senhora de Fátima, Entroncamento, Santarém",T1,97 500 €,125 m²,780 €/m²,Usado,
78,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T1,195 000 €,55 m²,3 545 €/m²,Casas de Banho: 1,Usado
79,Setúbal,"Moita, Setúbal",T4,153 900 €,"157,93 m²",974 €/m²,Casas de Banho: 1,Usado
80,Faro,"Portimão, Faro",T1,105 000 €,45 m²,2 333 €/m²,Casas de Banho: 1,Usado
81,Leiria,"Meirinhas, Pombal, Leiria",T2,99 000 €,126 m²,786 €/m²,Casas de Banho: 1,Usado
82,Porto,"Fânzeres e São Pedro da Cova, Gondomar, Porto",T3,205 000 €,113 m²,1 814 €/m²,Casas de Banho: 3,Usado
83,Faro,"Faro (Sé e São Pedro), Faro",T2,275 000 €,142 m²,1 937 €/m²,Casas de Banho: 2,Novo
84,Faro,"Faro (Sé e São Pedro), Faro",T4,550 000 €,173 m²,3 179 €/m²,Casas de Banho: 3,Novo
85,Porto,"Rebordosa, Paredes, Porto",100 000 €,89 m²,1 124 €/m²,Casas de Banho: 1,,
86,Lisboa,"Areeiro, Lisboa",610 000 €,"135,19 m²",4 512 €/m²,Casas de Banho: 3,Novo,
87,Lisboa,"Alcântara, Lisboa",T1,385 000 €,"74,68 m²",5 155 €/m²,Em construção,
88,Lisboa,"Águas Livres, Amadora, Lisboa",365 000 €,120 m²,3 042 €/m²,Casas de Banho: 2,Em construção,
89,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T2,640 000 €,"135,60 m²",4 720 €/m²,Casas de Banho: 2,Em construção
90,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T3,690 000 €,"180,40 m²",3 825 €/m²,Casas de Banho: 3,Em construção
91,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",293 000 €,"106,45 m²",2 752 €/m²,Casas de Banho: 2,Novo,
92,Lisboa,"Avenidas Novas, Lisboa",T3,1 350 000 €,"153,70 m²",8 783 €/m²,Em construção,
93,Lisboa,"Alcântara, Lisboa",T3,935 000 €,"166,11 m²",5 629 €/m²,Em construção,
94,Lisboa,"Águas Livres, Amadora, Lisboa",245 000 €,80 m²,3 063 €/m²,Casas de Banho: 1,Em construção,
95,Coimbra,"Granja do Ulmeiro, Soure, Coimbra",93 500 €,109 m²,858 €/m²,Casas de Banho: 2,,
96,Lisboa,"Alcântara, Lisboa",T4,1 970 000 €,"276,51 m²",7 125 €/m²,Em construção,
97,Setúbal,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T3,135 000 €,99 m²,1 364 €/m²,Casas de Banho: 2,Usado
98,Setúbal,"Alhos Vedros, Moita, Setúbal",T2,61 990 €,75 m²,827 €/m²,Casas de Banho: 1,Renovado
99,Lisboa,"Alcântara, Lisboa",T2,517 500 €,"90,06 m²",5 746 €/m²,Em construção,
100,Lisboa,"Campolide, Lisboa",655 000 €,94 m²,6 968 €/m²,Casas de Banho: 1,Em construção,
101,Lisboa,"Campolide, Lisboa",745 000 €,"101,63 m²",7 331 €/m²,Casas de Banho: 2,Em construção,
102,Lisboa,"São Domingos de Benfica, Lisboa",T2,258 000 €,68 m²,3 794 €/m²,Casas de Banho: 1,Renovado
103,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T6,1 970 000 €,520 m²,3 788 €/m²,Casas de Banho: 4 ou mais,Renovado
104,Setúbal,"Alhos Vedros, Moita, Setúbal",T3,132 500 €,90 m²,1 472 €/m²,Casas de Banho: 2,Usado
105,Lisboa,"São Domingos de Rana, Cascais, Lisboa",T3,410 000 €,121 m²,3 388 €/m²,Casas de Banho: 2,Novo
106,Lisboa,"Porto Salvo, Oeiras, Lisboa",T3,880 000 €,"174,35 m²",5 047 €/m²,Casas de Banho: 3,Novo
107,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T3,1 195 000 €,"165,58 m²",7 217 €/m²,Casas de Banho: 3,Usado
108,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T1,295 000 €,"65,60 m²",4 497 €/m²,Casas de Banho: 1,Usado
109,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T3,570 000 €,133 m²,4 286 €/m²,Casas de Banho: 3,Usado
110,Lisboa,"Santa Maria Maior, Lisboa",T1,440 000 €,"55,36 m²",7 948 €/m²,Casas de Banho: 1,Usado
111,Lisboa,"Avenidas Novas, Lisboa",T3,560 000 €,105 m²,5 333 €/m²,Casas de Banho: 3,Usado
112,Lisboa,"Lumiar, Lisboa",T3,600 000 €,163 m²,3 681 €/m²,Casas de Banho: 3,Novo
113,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T2,298 000 €,"104,13 m²",2 862 €/m²,Casas de Banho: 2,Renovado
114,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T2,255 000 €,"108,10 m²",2 359 €/m²,Casas de Banho: 1,Usado
115,Lisboa,"Porto Salvo, Oeiras, Lisboa",T2,360 000 €,82 m²,4 390 €/m²,Casas de Banho: 2,Usado
116,Lisboa,"Porto Salvo, Oeiras, Lisboa",T2,440 000 €,"109,50 m²",4 018 €/m²,Casas de Banho: 3,Novo
117,Lisboa,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T2,285 000 €,85 m²,3 353 €/m²,Casas de Banho: 2,Usado
118,Lisboa,"Santa Maria Maior, Lisboa",T1,480 000 €,"66,27 m²",7 243 €/m²,Casas de Banho: 1,Usado
119,Porto,"Campanhã, Porto",T2,338 000 €,"100,20 m²",3 373 €/m²,Casas de Banho: 2,Novo
120,Porto,"Campanhã, Porto",T4,350 000 €,"138,90 m²",2 520 €/m²,Casas de Banho: 3,Em construção
121,Porto,"Bonfim, Porto",T1,154 000 €,"52,10 m²",2 956 €/m²,Casas de Banho: 1,Novo
122,Porto,"Ramalde, Porto",T2,210 000 €,76 m²,2 763 €/m²,Casas de Banho: 1,Usado
123,Coimbra,"Santa Clara e Castelo Viegas, Coimbra",T3,215 000 €,120 m²,1 792 €/m²,Casas de Banho: 4 ou mais,Usado
124,Faro,"Portimão, Faro",T2,133 000 €,86 m²,1 547 €/m²,Casas de Banho: 1,Usado
125,Porto,"Campanhã, Porto",T4,550 000 €,176 m²,3 125 €/m²,Casas de Banho: 3,Novo
126,Faro,"Portimão, Faro",265 000 €,"70,20 m²",3 775 €/m²,Casas de Banho: 2,Em construção,
127,Faro,"Portimão, Faro",205 000 €,"96,20 m²",2 131 €/m²,Casas de Banho: 2,Em construção,
128,Porto,"Pedroso e Seixezelo, Vila Nova de Gaia, Porto",T2,130 000 €,"95,40 m²",1 363 €/m²,Casas de Banho: 2,Usado
129,Lisboa,"Campo de Ourique, Lisboa",665 000 €,"106,50 m²",6 244 €/m²,Casas de Banho: 2,Em construção,
130,Faro,"São Gonçalo de Lagos, Lagos, Faro",300 000 €,"106,55 m²",2 816 €/m²,Casas de Banho: 2,Em construção,
131,Faro,"São Gonçalo de Lagos, Lagos, Faro",400 000 €,"129,05 m²",3 100 €/m²,Casas de Banho: 2,Em construção,
132,Lisboa,"Estrela, Lisboa",2 030 000 €,"180,70 m²",11 234 €/m²,Casas de Banho: 3,Em construção,
133,Lisboa,"Santo António, Lisboa",T3,2 150 000 €,195 m²,11 026 €/m²,Casas de Banho: 4 ou mais,Em construção
134,Lisboa,"Santo António, Lisboa",1 700 000 €,"152,05 m²",11 181 €/m²,Casas de Banho: 3,Em construção,
135,Lisboa,"Santo António, Lisboa",3 145 000 €,235 m²,13 383 €/m²,Casas de Banho: 4 ou mais,Novo,
136,Setúbal,"Alcochete, Setúbal",500 000 €,"84,80 m²",5 896 €/m²,Casas de Banho: 1,Novo,
137,Lisboa,"Avenidas Novas, Lisboa",1 240 000 €,"170,70 m²",7 264 €/m²,Casas de Banho: 4 ou mais,Em construção,
138,Lisboa,"Avenidas Novas, Lisboa",1 510 000 €,"214,20 m²",7 049 €/m²,Casas de Banho: 4 ou mais,Em construção,
139,Lisboa,"Arroios, Lisboa",640 000 €,"103,76 m²",6 168 €/m²,Casas de Banho: 2,Novo,
140,Faro,"Faro (Sé e São Pedro), Faro",T3,363 000 €,"171,50 m²",2 117 €/m²,Casas de Banho: 3,Novo
141,Faro,"Portimão, Faro",T2,259 825 €,"70,20 m²",3 701 €/m²,Casas de Banho: 2,Em construção
142,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T3,404 000 €,"140,90 m²",2 867 €/m²,Novo,
143,Aveiro,"Glória e Vera Cruz, Aveiro",T4,450 000 €,142 m²,3 169 €/m²,Casas de Banho: 4 ou mais,Em construção
144,Faro,"Faro (Sé e São Pedro), Faro",T1,189 000 €,"67,20 m²",2 813 €/m²,Casas de Banho: 1,Novo
145,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T4,495 000 €,"204,25 m²",2 424 €/m²,Novo,
146,Aveiro,"Glória e Vera Cruz, Aveiro",T3,330 000 €,109 m²,3 028 €/m²,Casas de Banho: 2,Em construção
147,Faro,"Portimão, Faro",T2,260 000 €,"76,70 m²",3 390 €/m²,Casas de Banho: 2,Em construção
148,Setúbal,"Alcochete, Setúbal",T2,510 000 €,"83,70 m²",6 093 €/m²,Casas de Banho: 2,Novo
149,Porto,"Paranhos, Porto",Vídeo,T1,221 815 €,77 m²,2 881 €/m²,Casas de Banho: 1
150,Faro,"Portimão, Faro",T1,175 000 €,"52,80 m²",3 314 €/m²,Casas de Banho: 1,Em construção
151,Lisboa,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisboa",T3,700 000 €,272 m²,2 574 €/m²,Casas de Banho: 2,Novo
152,Porto,"Milheirós, Maia, Porto",T2,235 000 €,"94,41 m²",2 489 €/m²,Casas de Banho: 2,Renovado
153,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,318 750 €,"87,30 m²",3 651 €/m²,Casas de Banho: 2,Em construção
154,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T2,276 000 €,98 m²,2 816 €/m²,Casas de Banho: 2,Renovado
155,Porto,"Lordelo do Ouro e Massarelos, Porto",T3,292 000 €,103 m²,2 835 €/m²,Casas de Banho: 2,Renovado
156,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto",T2,285 000 €,"76,30 m²",3 735 €/m²,Casas de Banho: 1,Renovado
157,Braga,"São Victor, Braga",290 000 €,212 m²,1 368 €/m²,Usado,,
158,Lisboa,"São Domingos de Benfica, Lisboa",Vídeo,T1,198 000 €,52 m²,3 808 €/m²,Casas de Banho: 1
159,Lisboa,"São Domingos de Benfica, Lisboa",Vídeo,T2,252 000 €,57 m²,4 421 €/m²,Casas de Banho: 2
160,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T2,249 000 €,73 m²,3 411 €/m²,Casas de Banho: 1,Renovado
161,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T2,330 000 €,93 m²,3 548 €/m²,Casas de Banho: 2,
162,Porto,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",T3,212 500 €,142 m²,1 496 €/m²,Casas de Banho: 2,Usado
163,Braga,"Antas e Abade de Vermoim, Vila Nova de Famalicão, Braga",315 000 €,"165,30 m²",1 906 €/m²,Casas de Banho: 4 ou mais,Em construção,
164,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T4,635 000 €,153 m²,4 150 €/m²,Casas de Banho: 2,Novo
165,Leiria,"Leiria, Pousos, Barreira e Cortes, Leiria",T2,179 500 €,86 m²,2 087 €/m²,Casas de Banho: 2,Usado
166,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T2,419 000 €,94 m²,4 457 €/m²,Casas de Banho: 2,Renovado
167,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T2,410 000 €,105 m²,3 905 €/m²,Casas de Banho: 2,Novo
168,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T2,410 000 €,105 m²,3 905 €/m²,Casas de Banho: 2,Novo
169,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T2,450 000 €,105 m²,4 286 €/m²,Casas de Banho: 2,Novo
170,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T4,1 300 000 €,180 m²,7 222 €/m²,Casas de Banho: 2,Usado
171,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T2,330 000 €,85 m²,3 882 €/m²,Casas de Banho: 2,Renovado
172,Lisboa,"Cascais e Estoril, Cascais, Lisboa",T4,795 000 €,128 m²,6 211 €/m²,Casas de Banho: 2,Usado
173,Faro,"Portimão, Faro",T4,154 500 €,138 m²,1 120 €/m²,Casas de Banho: 3,Usado
174,Porto,"Póvoa de Varzim, Beiriz e Argivai, Povoa de Varzim, Porto",Vídeo,T2,149 500 €,95 m²,1 574 €/m²,Casas de Banho: 2
175,Porto,"Campanhã, Porto",T2,240 000 €,93 m²,2 581 €/m²,Casas de Banho: 3,Novo
176,Lisboa,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisboa",T2,394 500 €,105 m²,3 757 €/m²,Casas de Banho: 2,Usado
177,Faro,"Portimão, Faro",Vídeo,T3,340 000 €,170 m²,2 000 €/m²,Casas de Banho: 3
178,Faro,"Portimão, Faro",T2,235 000 €,"77,40 m²",3 036 €/m²,Casas de Banho: 2,Usado
179,Porto,"Valongo, Porto",Preço sob consulta,146 m²,Casas de Banho: 2,,,
180,Lisboa,"Estrela, Lisboa",T3,1 480 000 €,"133,85 m²",11 057 €/m²,Casas de Banho: 3,Em construção
181,Lisboa,"Estrela, Lisboa",T2,1 138 500 €,"133,45 m²",8 531 €/m²,Casas de Banho: 3,Em construção
182,Setúbal,"Alcochete, Setúbal",T3,197 000 €,"104,57 m²",1 884 €/m²,Casas de Banho: 2,Usado
183,Setúbal,"Alcochete, Setúbal",T4,330 000 €,"130,60 m²",2 527 €/m²,Casas de Banho: 2,Usado
184,Lisboa,"Estrela, Lisboa",T1,742 500 €,"70,25 m²",10 569 €/m²,Casas de Banho: 1,Em construção
185,Setúbal,"Montijo e Afonsoeiro, Montijo, Setúbal",T3,155 000 €,"107,53 m²",1 441 €/m²,Casas de Banho: 2,Usado
186,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T2,112 500 €,72 m²,1 563 €/m²,Casas de Banho: 1,Usado
187,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T3,148 500 €,90 m²,1 650 €/m²,Casas de Banho: 1,Usado
188,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T3,153 500 €,81 m²,1 895 €/m²,Casas de Banho: 2,Usado
189,Santarém,"São João Baptista, Entroncamento, Santarém",T3,85 000 €,98 m²,867 €/m²,Usado,
190,Porto,"Paranhos, Porto",T0,147 000 €,38 m²,3 868 €/m²,Casas de Banho: 1,Novo
191,Porto,"Lordelo do Ouro e Massarelos, Porto",Vídeo,T3,230 000 €,84 m²,2 738 €/m²,Casas de Banho: 2
192,Porto,"Alfena, Valongo, Porto",Vídeo,T1,109 900 €,64 m²,1 717 €/m²,Casas de Banho: 1
193,Lisboa,"Cacém e São Marcos, Sintra, Lisboa",129 900 €,75 m²,1 732 €/m²,Casas de Banho: 1,Usado,
194,Porto,"Matosinhos e Leça da Palmeira, Matosinhos, Porto",T4,495 000 €,"163,20 m²",3 033 €/m²,Casas de Banho: 3,Em construção
195,Porto,"Aldoar, Foz do Douro e Nevogilde, Porto",Vídeo,T3,330 000 €,"123,60 m²",2 670 €/m²,Casas de Banho: 2
196,Lisboa,"Campolide, Lisboa",T2,760 000 €,"97,93 m²",7 761 €/m²,Casas de Banho: 2,Em construção
197,Lisboa,"Campolide, Lisboa",T3,1 295 000 €,"134,95 m²",9 596 €/m²,Casas de Banho: 3,Em construção
198,Lisboa,"Campolide, Lisboa",T1,500 000 €,"67,10 m²",7 452 €/m²,Casas de Banho: 1,Em construção
199,Lisboa,"Campolide, Lisboa",T0,350 000 €,"45,10 m²",7 761 €/m²,Casas de Banho: 1,Em construção
200,Porto,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T4,430 000 €,152 m²,2 829 €/m²,Casas de Banho: 4 ou mais,Em construção
201,Lisboa,"Benfica, Lisboa",T2,289 900 €,65 m²,4 460 €/m²,Casas de Banho: 2,Renovado
202,Lisboa,"Avenidas Novas, Lisboa",T3,750 000 €,138 m²,5 435 €/m²,Casas de Banho: 2,Renovado
203,Porto,"Ermesinde, Valongo, Porto",T3,92 000 €,78 m²,1 179 €/m²,Casas de Banho: 1,Para recuperar
204,Faro,"Monte Gordo, Vila Real de Santo António, Faro",T2,160 000 €,"78,80 m²",2 030 €/m²,Casas de Banho: 2,Usado
205,Lisboa,"Estrela, Lisboa",T2,730 000 €,132 m²,5 530 €/m²,Casas de Banho: 3,Renovado
206,Faro,"Montenegro, Faro",T3,250 000 €,102 m²,2 451 €/m²,Casas de Banho: 2,Novo
207,Lisboa,"Avenidas Novas, Lisboa",T5,1 850 000 €,284 m²,6 514 €/m²,Casas de Banho: 4 ou mais,Usado
